Date,Price,Open,High,Low,Vol.,Change %
08/11/2014,"28,554","28,480","28,600","28,445",8.67K,0.15%
08/12/2014,"28,641","28,520","28,780","28,474",12.99K,0.30%
08/13/2014,"28,567","28,590","28,645","28,480",13.99K,-0.26%
08/14/2014,"28,489","28,521","28,657","28,378",16.18K,-0.27%
08/18/2014,"28,167","28,405","28,405","28,140",10.49K,-1.13%
08/19/2014,"28,124","28,170","28,248","28,087",9.50K,-0.15%
08/20/2014,"28,079","28,120","28,158","28,025",10.17K,-0.16%
08/21/2014,"27,599","28,025","28,025","27,550",17.84K,-1.71%
08/22/2014,"27,634","27,657","27,720","27,555",11.05K,0.13%
08/25/2014,"27,632","27,624","27,678","27,535",8.40K,-0.01%
08/26/2014,"27,720","27,652","27,880","27,652",13.07K,0.32%
08/27/2014,"27,599","27,741","27,760","27,575",9.26K,-0.44%
08/28/2014,"27,884","27,642","27,974","27,642",14.14K,1.03%
08/29/2014,"27,794","27,835","27,835","27,652",4.09K,-0.32%
09/01/2014,"27,679","27,747","27,774","27,651",4.16K,-0.41%
09/02/2014,"27,340","27,610","27,676","27,318",4.01K,-1.22%
09/03/2014,"27,355","27,362","27,420","27,186",1.12K,0.05%
09/04/2014,"27,282","27,418","27,427","27,262",0.27K,-0.27%
09/05/2014,"27,225","27,250","27,360","27,068",0.34K,-0.21%
09/08/2014,"27,207","27,448","27,497","27,116",13.17K,-0.07%
09/09/2014,"27,272","27,237","27,395","27,159",15.56K,0.24%
09/10/2014,"27,194","27,350","27,441","27,152",13.41K,-0.29%
09/11/2014,"26,996","27,207","27,246","26,970",18.44K,-0.73%
09/12/2014,"26,909","26,958","26,995","26,801",16.07K,-0.32%
09/13/2014,"26,900","26,900","26,900","26,900",,-0.03%
09/15/2014,"27,006","26,949","27,118","26,913",16.61K,0.39%
09/16/2014,"26,954","27,008","27,110","26,920",19.69K,-0.19%
09/17/2014,"26,907","26,960","27,009","26,860",12.06K,-0.17%
09/18/2014,"26,659","26,860","26,860","26,572",15.98K,-0.92%
09/19/2014,"26,497","26,605","26,694","26,470",15.87K,-0.61%
09/22/2014,"26,605","26,436","26,665","26,313",16.47K,0.41%
09/23/2014,"26,682","26,586","26,937","26,488",16.66K,0.29%
09/24/2014,"26,552","26,685","26,760","26,526",13.88K,-0.49%
09/25/2014,"26,919","26,514","26,950","26,381",19.58K,1.38%
09/26/2014,"26,694","26,960","27,100","26,665",19.99K,-0.84%
09/27/2014,"26,693","26,693","26,693","26,693",,0.00%
09/29/2014,"26,819","26,760","26,915","26,685",9.13K,0.47%
09/30/2014,"26,805","26,807","26,968","26,633",10.68K,-0.05%
10/01/2014,"26,790","26,695","26,840","26,552",3.92K,-0.06%
10/03/2014,"26,439","26,931","26,931","26,377",11.02K,-1.31%
10/05/2014,"26,424","26,424","26,424","26,424",,-0.06%
10/06/2014,"26,637","26,476","26,667","26,352",6.97K,0.81%
10/07/2014,"26,673","26,581","26,710","26,566",14.87K,0.14%
10/08/2014,"26,633","26,698","26,885","26,620",15.81K,-0.15%
10/09/2014,"26,847","26,696","26,938","26,696",16.43K,0.80%
10/10/2014,"26,855","26,813","26,940","26,750",15.64K,0.03%
10/13/2014,"26,855","26,900","27,135","26,811",16.69K,0.00%
10/14/2014,"27,128","26,892","27,170","26,892",15.72K,1.02%
10/16/2014,"27,328","27,150","27,475","27,150",17.55K,0.74%
10/17/2014,"27,151","27,310","27,362","27,085",14.21K,-0.65%
10/20/2014,"27,302","27,131","27,360","27,078",11.36K,0.56%
10/21/2014,"27,394","27,358","27,496","27,343",12.77K,0.34%
10/22/2014,"27,333","27,369","27,389","27,265",9.86K,-0.22%
10/23/2014,"26,940","27,174","27,174","26,913",6.40K,-1.44%
10/24/2014,"26,963","27,050","27,067","26,950",3.46K,0.09%
10/27/2014,"27,008","26,957","27,048","26,913",7.36K,0.17%
10/28/2014,"26,909","26,962","27,076","26,880",8.53K,-0.37%
10/29/2014,"26,864","26,974","26,990","26,805",6.31K,-0.17%
10/30/2014,"26,376","26,811","26,811","26,326",10.88K,-1.82%
10/31/2014,"25,924","26,350","26,375","25,684",15.94K,-1.71%
11/03/2014,"25,868","25,877","25,947","25,750",3.75K,-0.22%
11/04/2014,"25,810","25,930","25,965","25,725",0.22K,-0.22%
11/05/2014,"25,348","25,578","26,340","25,201",0.98K,-1.79%
11/06/2014,"25,467","25,448","25,568","25,411",8.38K,0.47%
11/07/2014,"25,926","25,475","25,970","25,172",30.78K,1.80%
11/10/2014,"25,719","25,949","26,070","25,670",15.44K,-0.80%
11/11/2014,"25,793","25,632","25,861","25,434",19.18K,0.29%
11/12/2014,"25,794","25,798","25,940","25,735",17.11K,0.00%
11/13/2014,"25,827","25,849","25,920","25,689",20.23K,0.13%
11/14/2014,"26,458","25,791","26,519","25,585",33.82K,2.44%
11/16/2014,"26,411","26,411","26,411","26,411",,-0.18%
11/17/2014,"26,319","26,370","26,499","26,275",20.73K,-0.35%
11/18/2014,"26,587","26,367","26,756","26,367",24.60K,1.02%
11/19/2014,"26,710","26,548","26,840","26,235",33.87K,0.46%
11/20/2014,"26,459","26,620","26,620","26,375",26.02K,-0.94%
11/21/2014,"26,390","26,509","26,623","26,340",26.75K,-0.26%
11/24/2014,"26,473","26,462","26,539","26,420",15.02K,0.31%
11/25/2014,"26,338","26,480","26,537","26,322",19.75K,-0.51%
11/26/2014,"26,397","26,395","26,440","26,330",10.02K,0.22%
11/27/2014,"26,237","26,355","26,355","26,170",14.22K,-0.61%
11/28/2014,"25,853","26,150","26,244","25,815",15.53K,-1.46%
12/01/2014,"26,546","25,803","26,627","25,123",5.73K,2.68%
12/02/2014,"26,224","26,438","27,050","26,087",1.15K,-1.21%
12/03/2014,"26,496","26,309","26,699","26,236",0.09K,1.04%
12/04/2014,"26,488","26,299","26,850","26,299",0.06K,-0.03%
12/05/2014,"26,279","26,698","26,698","25,801",0.17K,-0.79%
12/08/2014,"26,228","26,277","26,350","26,164",10.30K,-0.19%
12/09/2014,"27,023","26,322","27,168","26,321",25.02K,3.03%
12/10/2014,"27,054","27,000","27,220","26,910",18.25K,0.11%
12/11/2014,"27,142","27,096","27,240","26,860",18.57K,0.33%
12/12/2014,"27,088","27,168","27,188","26,910",19.32K,-0.20%
12/15/2014,"27,173","27,037","27,348","26,912",19.06K,0.31%
12/16/2014,"27,044","27,120","27,636","26,822",35.79K,-0.47%
12/17/2014,"26,802","27,011","27,099","26,775",19.26K,-0.89%
12/18/2014,"26,659","26,888","27,111","26,580",22.40K,-0.53%
12/19/2014,"26,859","26,725","26,922","26,654",13.73K,0.75%
12/22/2014,"26,458","26,859","26,910","26,403",15.11K,-1.49%
12/23/2014,"26,468","26,499","26,600","26,366",13.76K,0.04%
12/24/2014,"26,433","26,500","26,514","26,411",6.95K,-0.13%
12/26/2014,"26,894","26,470","26,930","26,470",13.78K,1.74%
12/29/2014,"26,598","26,919","26,919","26,560",10.82K,-1.10%
12/30/2014,"26,908","26,646","27,068","26,511",16.30K,1.17%
12/31/2014,"26,594","26,909","26,909","26,491",9.51K,-1.17%
01/01/2015,"26,586","26,610","26,647","26,539",1.82K,-0.03%
01/02/2015,"26,700","26,585","26,740","26,285",1.99K,0.43%
01/05/2015,"26,847","26,800","26,911","26,650",0.57K,0.55%
01/06/2015,"27,385","27,095","27,442","27,094",26.64K,2.00%
01/07/2015,"27,159","27,328","27,350","27,110",19.66K,-0.83%
